chrom	start	end	GC
chr1	0	100000	0.42452222222222225
chr1	100000	200000	0.45815
chr1	200000	300000	0.4056871247498332
chr1	300000	400000	0.4718826875768758
chr1	400000	500000	0.40192
chr1	500000	600000	0.45786
chr1	600000	700000	0.42091
chr1	700000	800000	0.43337
chr1	800000	900000	0.44823
chr1	900000	1000000	0.62123
chr1	1000000	1100000	0.62746
chr1	1100000	1200000	0.58992
chr1	1200000	1300000	0.62685
chr1	1300000	1400000	0.6067
chr1	1400000	1500000	0.57414
chr1	1500000	1600000	0.56138
chr1	1600000	1700000	0.56796
chr1	1700000	1800000	0.53335
chr1	1800000	1900000	0.47259
chr1	1900000	2000000	0.56818
chr1	2000000	2100000	0.56962
chr1	2100000	2200000	0.5684
chr1	2200000	2300000	0.57803
chr1	2300000	2400000	0.58421
chr1	2400000	2500000	0.62701
chr1	2500000	2600000	0.61192
chr1	2600000	2700000	0.58534
chr1	2700000	2800000	0.5752774778283266
chr1	2800000	2900000	0.57936
chr1	2900000	3000000	0.55428
chr1	3000000	3100000	0.566
chr1	3100000	3200000	0.58159
chr1	3200000	3300000	0.56826
chr1	3300000	3400000	0.56179
chr1	3400000	3500000	0.59153
chr1	3500000	3600000	0.62381
chr1	3600000	3700000	0.57226
chr1	3700000	3800000	0.57201
chr1	3800000	3900000	0.49207
chr1	3900000	4000000	0.51777
chr1	4000000	4100000	0.49518
chr1	4100000	4200000	0.48685
chr1	4200000	4300000	0.44438
chr1	4300000	4400000	0.49496
chr1	4400000	4500000	0.475
chr1	4500000	4600000	0.46128
chr1	4600000	4700000	0.52037
chr1	4700000	4800000	0.51757
chr1	4800000	4900000	0.4356
chr1	4900000	5000000	0.45872
chr1	5000000	5100000	0.40916
chr1	5100000	5200000	0.43978
chr1	5200000	5300000	0.45412
chr1	5300000	5400000	0.46281
chr1	5400000	5500000	0.49312
chr1	5500000	5600000	0.45821
chr1	5600000	5700000	0.47046
chr1	5700000	5800000	0.51083
chr1	5800000	5900000	0.53204
chr1	5900000	6000000	0.49296
chr1	6000000	6100000	0.55532
chr1	6100000	6200000	0.55232
chr1	6200000	6300000	0.56391
chr1	6300000	6400000	0.5304
chr1	6400000	6500000	0.58107
chr1	6500000	6600000	0.5271
chr1	6600000	6700000	0.48978
chr1	6700000	6800000	0.46513
chr1	6800000	6900000	0.41148
chr1	6900000	7000000	0.48644
chr1	7000000	7100000	0.48364
chr1	7100000	7200000	0.46281
chr1	7200000	7300000	0.44451
chr1	7300000	7400000	0.4659
chr1	7400000	7500000	0.5298
chr1	7500000	7600000	0.52689
chr1	7600000	7700000	0.5453
chr1	7700000	7800000	0.43971
chr1	7800000	7900000	0.42566
chr1	7900000	8000000	0.45383
chr1	8000000	8100000	0.43148
chr1	8100000	8200000	0.45684
chr1	8200000	8300000	0.47765
chr1	8300000	8400000	0.49666
chr1	8400000	8500000	0.42754
chr1	8500000	8600000	0.40737
chr1	8600000	8700000	0.39978
chr1	8700000	8800000	0.41176
chr1	8800000	8900000	0.47082
chr1	8900000	9000000	0.47521
chr1	9000000	9100000	0.48912
chr1	9100000	9200000	0.50485
chr1	9200000	9300000	0.51
chr1	9300000	9400000	0.5414
chr1	9400000	9500000	0.4984
